company_name,stand_number,ai-start,ai-data-mess,mtd-volume,mtd-clients,margin,hiring,retention,burnout,docs,chasing,defensible-files,aml,disconnected,ai-roi,advisory,advisory-charge,winning,ai-team,cyber,penalties,frs102,portal,ai-govern,ai-skills,onboarding,month-end,bankfeeds,cpd,career,leadership,cashflow,pe,exit,outsource,niche,cross-border,rd,top_tags
123 Sheets,770,0.00,0.00,1.00,0.80,0.30,0.00,0.00,0.60,0.00,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,mtd-volume(1.00)|mtd-clients(0.80)|burnout(0.60)
20:20 Innovation,1130,0.00,0.00,0.30,0.00,0.30,0.60,0.30,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.30,0.00,0.60,0.00,0.00,0.30,0.00,0.00,0.00,0.60,0.00,0.00,0.00,1.00,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,cpd(1.00)|hiring(0.60)|winning(0.60)
Access PaySuite,960,0.00,0.00,0.30,0.00,0.20,0.00,0.00,0.30,0.00,0.40,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.10,0.00,0.00,0.20,0.30,0.60,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.50,0.00,cashflow(0.70)|bankfeeds(0.60)|cross-border(0.50)
Accountant_she,1871,0.00,0.00,0.00,0.00,0.30,0.80,0.80,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.60,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,hiring(0.80)|retention(0.80)|leadership(0.80)
Accounting Flow,1563,0.60,0.70,0.40,0.20,0.60,0.00,0.00,0.50,0.80,0.60,0.60,0.20,0.50,0.50,0.30,0.60,0.60,0.30,0.20,0.20,0.00,0.40,0.20,0.10,0.50,0.30,0.20,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,docs(0.80)|ai-data-mess(0.70)|ai-start(0.60)
AccountingCPD,1210,0.00,0.00,0.30,0.30,0.00,0.60,0.60,0.30,0.00,0.00,0.00,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.00,0.80,0.00,0.00,0.00,1.00,0.80,0.60,0.00,0.00,0.00,0.00,0.00,0.30,0.30,cpd(1.00)|ai-skills(0.80)|career(0.80)
Accountinuity CIC,380,0.00,0.00,0.30,0.00,0.60,0.70,0.60,0.80,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.30,1.00,0.00,0.00,0.00,outsource(1.00)|burnout(0.80)|hiring(0.70)
AccountsIQ Group,1630,0.30,0.60,0.30,0.00,0.40,0.00,0.00,0.50,0.30,0.40,0.20,0.00,0.60,0.50,0.00,0.00,0.00,0.20,0.10,0.00,0.00,0.20,0.00,0.00,0.30,0.70,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.10,0.00,month-end(0.70)|ai-data-mess(0.60)|disconnected(0.60)
ACENTEUS CCA GLOBAL,514,0.30,0.20,0.70,0.20,0.60,0.80,0.50,0.80,0.10,0.30,0.20,0.20,0.20,0.40,0.60,0.20,0.20,0.10,0.10,0.30,0.00,0.10,0.10,0.30,0.40,0.50,0.10,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.10,0.00,outsource(1.00)|hiring(0.80)|burnout(0.80)
Acting Office,1550,0.00,0.30,0.00,0.00,0.30,0.00,0.00,0.30,0.80,0.60,0.60,0.80,1.00,0.00,0.00,0.60,0.60,0.00,0.70,0.00,0.00,0.60,0.00,0.00,0.80,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,disconnected(1.00)|docs(0.80)|aml(0.80)
Adfin,1364,0.30,0.00,0.00,0.00,0.70,0.00,0.00,0.40,0.00,0.80,0.00,0.00,0.30,0.60,0.00,0.00,0.00,0.20,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.30,0.00,cashflow(1.00)|chasing(0.80)|margin(0.70)
Adsum,1870,0.60,0.70,0.80,0.30,0.30,0.00,0.00,0.40,0.50,0.30,0.60,0.30,0.60,0.50,0.00,0.00,0.00,0.20,0.20,0.50,0.00,0.30,0.30,0.00,0.40,0.50,0.40,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,mtd-volume(0.80)|ai-data-mess(0.70)|ai-start(0.60)
Advancetrack,1060,0.00,0.00,0.60,0.00,0.70,0.80,0.00,0.80,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.30,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.30,0.00,outsource(1.00)|hiring(0.80)|burnout(0.80)
